Tweet_Id,Tweet,Tweet_Değiştirilmiş,Tweet_Tarih,Kullanıcı_Id,Kullanıcı_Adı,Dil
1596911873915781120,Yalvardık görmezden gelmeyin diye @TFF_Org yine Ankara… Hatırla ne oldu Ankarada… https://t.co/K0lT18Qnf6,Yalvardık görmezden gelmeyin diye   yine Ankara  Hatırla ne oldu Ankarada   ,2022-11-27 17:00:34+00:00,939791244716335107,Sadece Beşiktaş (ÜMİT) 🇹🇷🇰🇷,tr
1596910184521424896,@ankara_kusu Ulan çok hıyarsınız o kadar,  Ulan çok hıyarsınız o kadar,2022-11-27 16:53:51+00:00,3590785594,mvltkybs🇹🇷🇹🇷🇹🇷,tr
1596909907697348608,@ankara_kusu Daha mareşal başkomutan olacaksın reisim nereye gidiyorsun..,  Daha mareşal başkomutan olacaksın reisim nereye gidiyorsun ,2022-11-27 16:52:45+00:00,89909351,Volk,tr
1596908838200168449,"@TNuekhet Sevdiğim bir şarkı...
Ben de ekim sonunda İstanbul ve Ankara yaptım tatil ve nostalji amacıyla..
İzmir bü… https://t.co/n3KrHiFstU",  Sevdiğim bir şarkı  Ben de ekim sonunda İstanbul ve Ankara yaptım tatil ve nostalji amacıyla  İzmir bü   ,2022-11-27 16:48:30+00:00,227080329,Realist,tr
1596908675142389761,@ankara_kusu Kanka sen o şehadet şerbetinden bir yudum içsende gideceğin yer belli,  Kanka sen o şehadet şerbetinden bir yudum içsende gideceğin yer belli,2022-11-27 16:47:51+00:00,1202635712023146503,Rüv :):,tr
1596908307838795777,"@ankara_kusu Gsgsgsv chp trolu oldugunu bu kadar belli etme bari, chp il binasinda bile chp bu kadar oy almaz aq",  Gsgsgsv chp trolu oldugunu bu kadar belli etme bari  chp il binasinda bile chp bu kadar oy almaz aq,2022-11-27 16:46:24+00:00,721276268751269888,GazMan,tr
1596908228277071874,Ankara gücü ve göz tepe takımı Lig ten men edilmelidir men etmeyen TFF bu senin eserin,Ankara gücü ve göz tepe takımı Lig ten men edilmelidir men etmeyen TFF bu senin eserin,2022-11-27 16:46:05+00:00,1311310390429659139,Osman,tr
1596907217034170369,@arifverimli O değil de bunun gibi sahte doktorlardan daha var mı acaba... Ankara Dışkapı acile gittiğim de telefon… https://t.co/hci3WNgsYq,  O değil de bunun gibi sahte doktorlardan daha var mı acaba  Ankara Dışkapı acile gittiğim de telefon   ,2022-11-27 16:42:04+00:00,181684042,VZ,tr
1596906961081348096,@sporx Bu olayların önünü Ankara’da siz açtınız… @TFF_Org,  Bu olayların önünü Ankara da siz açtınız   ,2022-11-27 16:41:03+00:00,322920341,Semih Yılmaz 🇩🇪,tr
1596906897973841920,@ankara_kusu Valla bu lafa inanıp ölmek isteyenler lütfen ölsün,  Valla bu lafa inanıp ölmek isteyenler lütfen ölsün,2022-11-27 16:40:48+00:00,263666399,M 🇹🇷,tr
